Feature,Perfect,Non-Perfect,Abs_Difference,Percent_Difference
24133,466,831,365,43.922984356197354
27766,369,90,279,75.60975609756098
17891,287,544,257,47.24264705882353
25899,271,388,117,30.15463917525773
14054,232,427,195,45.66744730679157
15194,187,1,186,99.46524064171123
25828,178,71,107,60.1123595505618
14032,169,2,167,98.81656804733728
10457,164,58,106,64.63414634146342
21145,124,373,249,66.75603217158177
15707,91,418,327,78.22966507177034
9725,64,181,117,64.64088397790056
30647,24,140,116,82.85714285714286
26728,15,118,103,87.28813559322035
29480,14,123,109,88.6178861788618
25737,12,114,102,89.47368421052632
25768,2,120,118,98.33333333333333
